,date,content
0,2021-11-21 20:06:44+00:00,I'm at Ambev - CDD Bebedouro https://t.co/Sy5fyYcCEH
1,2021-11-21 19:35:28+00:00,"Todo nicolas cagevannuccinho @ambev @brahmacerveja em Goiânia, Brazil https://t.co/xMdOeAEcQr"
2,2021-11-21 17:07:37+00:00,"Depois de ontem se a AmBev não falir, não fali mais. Misericórdia de tanta cachaça kkkk"
3,2021-11-21 15:58:06+00:00,"Fiz cadastro com CNPJ na ambev, tem polar lá na Black Friday a 21,00 o fardo de 473ml, mas é polar....."
4,2021-11-21 02:31:07+00:00,Drinking a Chopp Brahma by AmBev at @bar_brahma — https://t.co/zSkGLrGWIr
5,2021-11-20 23:24:16+00:00,Alô Ambev dobra a produção aí… 🎵
6,2021-11-20 21:10:29+00:00,#ambev #brahmaduplomalte #rock  #guitarra em Lau Estúdio https://t.co/Xqf5XpgWj0
7,2021-11-20 19:24:37+00:00,"Ando muito influenciado pela Twittosfera. Estava ali provando a Spaten, realmente a @Ambev pode mandar umas caixas lá em casa."
8,2021-11-20 19:10:45+00:00,"@CAndre51 @CaravanaMccoy @ori_chan59 Para os grandes bancos, quanto mais altos os juros melhor!

Outras empresas grandes, como AMBEV, JBS, Magalu, são ""amigas"" do PT e por isso querem a volta desses ladrões!"
9,2021-11-20 16:12:12+00:00,@Ambev Suas regras é uma ordem hahahaha
10,2021-11-20 16:04:18+00:00,nem pra Ambev me responder logo
11,2021-11-20 01:48:06+00:00,"alô, ambev dobra a produção ai que a gente bebe🍻"
12,2021-11-19 21:07:38+00:00,"@Ambev Eu tb queria, mas o @iFood vende cupons para aplicar em seus produtos e depois não valida! 😒🤡"
13,2021-11-19 21:06:50+00:00,"@Ambev Alô @Ambev !!! O @iFood vende cupons para aplicar em seus produtos e depois não valida, viu?! 😒🤡"
14,2021-11-19 21:06:03+00:00,"Alô @Ambev !!! O @iFood vende cupons para aplicar em seus produtos e depois não valida, viu?! 😒🤡"
15,2021-11-19 19:55:00+00:00,Acabou de publicar uma foto em Ambev Sete Lagoas https://t.co/O0eIHsABp5
16,2021-11-19 19:42:13+00:00,@Omardeideais Avisa a @Ambev que pode mandar aqui em casa que tô facinho
17,2021-11-19 19:29:53+00:00,"alguém me patrocina,to duro hoje 😔

 @skol @itaipava @corona @Budweiser_Br @heinekenbr @original @Brahmaexpress @becksbeerbr @cervejacolorado @Ambev @StellaArtois"
18,2021-11-19 17:19:19+00:00,@carol13galo Tomara que a AmBev ganhe
19,2021-11-19 16:02:38+00:00,"@AnaCost76173335 Não faz sentido, ficar limitado a uma única cerveja, ainda mais cara do jeito que é.. É preciso pensar no coletivo. Ambev tem várias cervejas, podem revesar, colocar 2, 3 opções. Enfim.."
20,2021-11-19 16:00:01+00:00,"Ambev!

Parece tão óbvio. (No mínimo umas 10 cervejas diferentes) chutei. https://t.co/GXF1j3IWBo"
21,2021-11-19 14:17:51+00:00,@Ambev Uma pena não vender em SC.... Manda uma caixinha de presente aí @Ambev 🙈
22,2021-11-19 12:20:51+00:00,"Claro que a AmBev tem uma gama mais diversificada e preços mais acessíveis. Mas Heineken é Heineken, cerveja de verdade. https://t.co/6gX27Q9LfE"
23,2021-11-19 10:32:33+00:00,@GuilhermeGava15 @Ambev já pose?
24,2021-11-19 03:05:08+00:00,"Novo Museu Flamengo, projeto realizado em parceria com a MUDE, que já concebeu 17 museus em seis países.

 Em parceria com a Mude e investimento de R$ 18 milhões, o projeto tem os patrocínios de BRB, Ambev, Epson, Tim, Estapar e Trem do Corcovado. 

✍🏻 @juliamalak https://t.co/YvGcRtEzlq"
25,2021-11-19 02:36:41+00:00,Bom de trabalhar na ambev que tem festinha quase todo dia ksksks
26,2021-11-19 01:16:54+00:00,@iFood comprei dois cupons para descontos em produtos @Ambev e simplesmente não consigo aplicá-los! não consegui tomar minha cervejinha hj e me sinto lesada!
27,2021-11-19 00:29:12+00:00,"@TatianeFeitos * Ambev
* Ambrósio
* Ambição."
