,date,content
0,2021-10-15 14:08:23+00:00,"@claudierla aaaa nunca tinha visto hoegaarden de latinha. o preço é mt diferente? (eu costumo comprar a long neck a 6,90)"
1,2021-10-08 13:52:03+00:00,Simplesmente do lado da rodoviária um lugar vendendo Three Monkeys por 5 conto e Hoegaarden por 4. https://t.co/6Qj6qigTjV
2,2021-10-02 15:35:02+00:00,"@Ambev , porque ainda não existe Hoegaarden litrão?"
3,2021-09-29 20:52:54+00:00,"comemorando aqui no Hoegaarden Green House de Pinheiros com aquela que sempre me apoiou, só faltou os nego veio"
4,2021-09-12 00:48:13+00:00,vontadona de comer um torresmo e tomar uma hoegaarden
5,2021-09-05 19:02:46+00:00,I'm at Hoegaarden Greenhouse in São Paulo https://t.co/nJDJ3ALSBq
6,2021-09-05 03:21:13+00:00,@pitangus hoegaarden amado
7,2021-09-05 02:12:32+00:00,"hoegaarden cada vez mais acessível aos mortais!

obrigado ambev https://t.co/8Xj52XtF2H"
8,2021-08-31 02:54:54+00:00,"@syanneneno Eu também não dou valor nela e nem na Budweiser. Prefiro a Cerpinha, Tijuca, Bohemia,...
Agora das marcas de fora sou muito mais Hoegaarden, Stella Artois, Estrella Galicia, e outras muito boas...."
9,2021-08-27 14:33:23+00:00,"Minha cerveja preferida, Hoegaarden, está na promoção por 3,99! Amo esses aniversários de mercados!❤️☘️"
10,2021-08-21 00:21:35+00:00,"Copiem o MBL dia 7 de setembro quem quiser me dar umas brejas eu aceito .

Ps. HOEGAARDEN 

Obrigado ."
11,2021-08-19 23:25:16+00:00,"Drinking a Hoegaarden Wit / Blanche 0,0 % by Brouwerij Hoegaarden @ Volta Redonda - RJ — https://t.co/G6N53CGhHp"
12,2021-08-19 01:21:52+00:00,"Hoegaarden é braba, eu sou pobre 😢 https://t.co/DxckkEZAJY"
13,2021-08-14 21:25:11+00:00,"@bhgbotelho @tomeigosto @BlueMoonBrewCo Bluemoon é uma Belgian Wit.
Aqui no Brasil temos visto boas ofertas de Hoegaarden. Mas tem a Praya que é do Rio. Fora as cervejarias locais que, ao menos em BH, tem ofertado as Wit também"
14,2021-08-11 20:27:20+00:00,@Ambev Hoegaarden 🧡🍊
15,2021-06-29 21:46:24+00:00,"hoegaarden puta cerveja de boy do caralho

mas eh mt boa parabens belgas"
16,2021-06-07 22:18:58+00:00,"@iagomaia_ @carolxicilina quer me deixar feliz, me de uma hoegaarden 
porém só bebo em ocasiões especiais pq não sou rica infelizmente"
17,2021-05-24 18:29:48+00:00,"@roberta_eng @advo_galo_ Ela gostou de alguns rótulos artesanais que apresentei mas a preferida é de fato a Hoegaarden, com relação à Brahma, ela gostou do Cozumel hahaha."
18,2021-05-24 16:02:28+00:00,"@advo_galo_ @roberta_eng Hahaha amo uma cerveja Witbier, a Hoegaarden em especial viu Marcelão."
19,2021-04-09 21:48:14+00:00,"@brollio Hoegaarden a 4,99 não pode perder hehehehe"
20,2021-04-09 21:10:33+00:00,Peguei um cupom brabo no rappi e preenchi minha geladeira com hoegaarden 🥰
21,2021-04-02 19:17:41+00:00,@RabelloCRF Melhor coisa!!!! Aquelas Hoegaarden vão morrer
22,2021-03-31 13:12:49+00:00,"COMO ME CONQUISTAR PELA BOCA

Bolo: fubá cremoso
Sorvete: todos menos morango
Chocolate: com amendoim 
Suco: laranja 
Refri: guaraná e só
Fruta: abacaxi 
Carne: nenhuma 
Água: com gás e limão 🤤
Pizza: palmito 
Cerveja: colorado e hoegaarden
Vinho: rose https://t.co/OGD2jSZr6w"
23,2021-03-28 05:00:55+00:00,Jogando mímica e bebendo Hoegaarden
24,2021-03-26 22:59:34+00:00,E se eu botar um packzinho de hoegaarden pra gelar
25,2021-03-21 22:12:52+00:00,"Pra fechar o domingo... 🍺💛🔥
#Hoegaarden #cerveja #beer #Breja  #cerveza #HoegaardenBrazil #HoegaardenBrasil 
#witber #Hoegaardenbeer #Beerlovers #Belgium #Belgica #Brasil 
🇧🇪🇧🇷
https://t.co/3ri1sQQMyw https://t.co/X2Ukjmp57z"
26,2021-03-16 18:16:33+00:00,"@Ambev Lembrei da Hoegaarden Wit, por ser uma cerveja refrescante com semente de coentro e raspas cascas de laranjas e harmonizam com frutos do mar. Li em algum lugar que comer olho de cabra é como se fosse fruto mar. 
Melhor engolir o olho e beber, do que mastigar olhos 🙈🍻"
27,2021-03-13 15:47:44+00:00,"Laranja, coentro e cerveja é bom gente!!! #hoegaarden https://t.co/VrgmrduRGC"
28,2021-03-13 03:36:08+00:00,@hinriq_ exatamente. quando eu tiver segurando uma hoegaarden vc mete essa kkkkk
29,2021-03-12 23:25:07+00:00,18 reais um hoegaarden... desisto
30,2021-03-07 15:41:22+00:00,"hoegaarden é a melhor cerveja
é isso"
